Date,Open,High,Low,Close,Volume
2000-12-27,1452.71,1452.71,1452.71,1452.71,27548000.0
2000-12-28,1456.47,1456.47,1456.47,1456.47,22319000.0
2000-12-29,1464.86,1464.86,1464.86,1464.86,21271000.0
2001-01-01,1464.86,1464.86,1464.86,1464.86,
2001-01-02,1432.39,1432.39,1432.39,1432.39,22808000.0
2001-01-03,1487.57,1487.57,1487.57,1487.57,52099000.0
2001-01-04,1561.81,1561.81,1561.81,1561.81,64983000.0
2001-01-05,1516.79,1516.79,1516.79,1516.79,39093000.0
2001-01-08,1531.22,1531.22,1531.22,1531.22,35132000.0
2001-01-09,1519.95,1519.95,1519.95,1519.95,59559000.0
2001-01-10,1479.96,1479.96,1479.96,1479.96,45760000.0
2001-01-11,1507.17,1507.17,1507.17,1507.17,56368000.0
2001-01-12,1511.39,1511.39,1511.39,1511.39,60608000.0
2001-01-15,1512.42,1512.42,1512.42,1512.42,12060000.0
2001-01-16,1505.96,1505.96,1505.96,1505.96,50517000.0
2001-01-17,1531.73,1531.73,1531.73,1531.73,60699000.0
2001-01-18,1564.66,1564.66,1564.66,1564.66,52691000.0
2001-01-19,1598.8,1598.8,1598.8,1598.8,46167000.0
2001-01-22,1593.69,1593.69,1593.69,1593.69,29079500.0
2001-01-23,1630.21,1630.21,1630.21,1630.21,39094400.0
2001-01-24,1624.7,1624.7,1624.7,1624.7,43924500.0
2001-01-25,1616.34,1616.34,1616.34,1616.34,40842300.0
2001-01-26,1651.02,1651.02,1651.02,1651.02,26971200.0
2001-01-29,1657.95,1657.95,1657.95,1657.95,30828500.0
2001-01-30,1682.92,1682.92,1682.92,1682.92,42665100.0
2001-01-31,1685.78,1685.78,1685.78,1685.78,52305300.0
2001-02-01,1684.37,1684.37,1684.37,1684.37,42537600.0
2001-02-02,1670.2,1670.2,1670.2,1670.2,22120400.0
2001-02-05,1666.27,1666.27,1666.27,1666.27,
2001-02-06,1664.72,1664.72,1664.72,1664.72,17520100.0
2001-02-07,1643.11,1643.11,1643.11,1643.11,48551800.0
2001-02-08,1656.84,1656.84,1656.84,1656.84,36698400.0
2001-02-09,1654.4,1654.4,1654.4,1654.4,49564100.0
2001-02-12,1669.42,1669.42,1669.42,1669.42,49097400.0
2001-02-13,1648.45,1648.45,1648.45,1648.45,44018300.0
2001-02-14,1641.54,1641.54,1641.54,1641.54,52875700.0
2001-02-15,1658.66,1658.66,1658.66,1658.66,37578700.0
2001-02-16,1649.05,1649.05,1649.05,1649.05,29000600.0
2001-02-19,1655.07,1655.07,1655.07,1655.07,11049300.0
2001-02-20,1625.34,1625.34,1625.34,1625.34,25246700.0
2001-02-21,1560.21,1560.21,1560.21,1560.21,68753296.0
2001-02-22,1554.68,1554.68,1554.68,1554.68,54311600.0
2001-02-23,1544.98,1544.98,1544.98,1544.98,32137000.0
2001-02-26,1576.0,1576.0,1576.0,1576.0,27879700.0
2001-02-27,1575.14,1575.14,1575.14,1575.14,42171800.0
2001-02-28,1565.25,1565.25,1565.25,1565.25,46152200.0
2001-03-01,1578.03,1578.03,1578.03,1578.03,69074896.0
2001-03-02,1597.12,1597.12,1597.12,1597.12,66960900.0
2001-03-05,1598.44,1598.44,1598.44,1598.44,35037600.0
2001-03-06,1632.52,1632.52,1632.52,1632.52,64727000.0
2001-03-07,1646.38,1646.38,1646.38,1646.38,54516000.0
2001-03-08,1661.73,1661.73,1661.73,1661.73,44814800.0
2001-03-09,1639.53,1639.53,1639.53,1639.53,39769500.0
2001-03-12,1564.79,1564.79,1564.79,1564.79,40714200.0
2001-03-13,1571.55,1571.55,1571.55,1571.55,42619500.0
2001-03-14,1537.39,1537.39,1537.39,1537.39,48822900.0
2001-03-15,1529.41,1529.41,1529.41,1529.41,36352000.0
2001-03-16,1542.81,1542.81,1542.81,1542.81,37515300.0
2001-03-19,1565.61,1565.61,1565.61,1565.61,38647400.0
2001-03-20,1529.14,1529.14,1529.14,1529.14,54399500.0
2001-03-21,1531.87,1531.87,1531.87,1531.87,
2001-03-22,1485.7,1485.7,1485.7,1485.7,55619300.0
2001-03-23,1464.0,1464.0,1464.0,1464.0,36775000.0
2001-03-26,1488.65,1488.65,1488.65,1488.65,24774200.0
2001-03-27,1525.76,1525.76,1525.76,1525.76,39661700.0
2001-03-28,1497.64,1497.64,1497.64,1497.64,32955500.0
2001-03-29,1485.36,1485.36,1485.36,1485.36,67656200.0
2001-03-30,1509.23,1509.23,1509.23,1509.23,47685600.0
2001-04-02,1510.66,1510.66,1510.66,1510.66,43723800.0
2001-04-03,1480.88,1480.88,1480.88,1480.88,40929500.0
2001-04-04,1476.09,1476.09,1476.09,1476.09,63347000.0
2001-04-05,1513.73,1513.73,1513.73,1513.73,68578200.0
2001-04-06,1518.07,1518.07,1518.07,1518.07,43825500.0
2001-04-09,1548.69,1548.69,1548.69,1548.69,52014400.0
2001-04-10,1605.23,1605.23,1605.23,1605.23,69211000.0
2001-04-11,1618.31,1618.31,1618.31,1618.31,46255800.0
2001-04-12,1613.1,1613.1,1613.1,1613.1,
2001-04-13,1613.1,1613.1,1613.1,1613.1,
2001-04-16,1596.15,1596.15,1596.15,1596.15,42076000.0
2001-04-17,1637.73,1637.73,1637.73,1637.73,84691400.0
2001-04-18,1676.97,1676.97,1676.97,1676.97,121493600.0
2001-04-19,1620.43,1620.43,1620.43,1620.43,113410096.0
2001-04-20,1600.19,1600.19,1600.19,1600.19,66334900.0
2001-04-23,1576.3,1576.3,1576.3,1576.3,46661700.0
2001-04-24,1599.21,1599.21,1599.21,1599.21,82676704.0
2001-04-25,1604.48,1604.48,1604.48,1604.48,60164000.0
2001-04-26,1645.37,1645.37,1645.37,1645.37,91313504.0
2001-04-27,1635.07,1635.07,1635.07,1635.07,58737700.0
2001-04-30,1650.14,1650.14,1650.14,1650.14,79466800.0
2001-05-01,1649.6,1649.6,1649.6,1649.6,
2001-05-02,1675.05,1675.05,1675.05,1675.05,87127600.0
2001-05-03,1675.43,1675.43,1675.43,1675.43,71060096.0
2001-05-04,1681.86,1681.86,1681.86,1681.86,77389000.0
2001-05-07,1665.17,1665.17,1665.17,1665.17,36584500.0
2001-05-08,1652.49,1652.49,1652.49,1652.49,51303200.0
2001-05-09,1673.36,1673.36,1673.36,1673.36,89274200.0
2001-05-10,1674.95,1674.95,1674.95,1674.95,78328200.0
2001-05-11,1677.65,1677.65,1677.65,1677.65,53410800.0
2001-05-14,1660.72,1660.72,1660.72,1660.72,50767500.0
2001-05-15,1647.08,1647.08,1647.08,1647.08,64529000.0
2001-05-16,1664.9,1664.9,1664.9,1664.9,65883800.0
2001-05-17,1790.99,1790.99,1790.99,1790.99,95143904.0
2001-05-18,1824.99,1824.99,1824.99,1824.99,91407800.0
2001-05-21,1835.71,1835.71,1835.71,1835.71,71199904.0
2001-05-22,1849.33,1849.33,1849.33,1849.33,66711700.0
2001-05-23,1864.38,1864.38,1864.38,1864.38,104422896.0
2001-05-24,1830.71,1830.71,1830.71,1830.71,73755904.0
2001-05-25,1819.49,1819.49,1819.49,1819.49,37419500.0
2001-05-28,1823.44,1823.44,1823.44,1823.44,6973400.0
2001-05-29,1811.62,1811.62,1811.62,1811.62,49054300.0
2001-05-30,1777.7,1777.7,1777.7,1777.7,36609900.0
2001-05-31,1780.03,1780.03,1780.03,1780.03,59750400.0
2001-06-01,1786.06,1786.06,1786.06,1786.06,67193800.0
2001-06-04,1798.17,1798.17,1798.17,1798.17,46274900.0
2001-06-05,1798.09,1798.09,1798.09,1798.09,74005400.0
2001-06-06,1835.55,1835.55,1835.55,1835.55,79494496.0
2001-06-07,1843.71,1843.71,1843.71,1843.71,79102096.0
2001-06-08,1836.44,1836.44,1836.44,1836.44,51030000.0
2001-06-11,1831.96,1831.96,1831.96,1831.96,38109400.0
2001-06-12,1842.03,1842.03,1842.03,1842.03,55653300.0
2001-06-13,1836.96,1836.96,1836.96,1836.96,72749400.0
2001-06-14,1840.25,1840.25,1840.25,1840.25,64744700.0
2001-06-15,1796.57,1796.57,1796.57,1796.57,80152200.0
2001-06-18,1752.89,1752.89,1752.89,1752.89,75890800.0
2001-06-19,1715.77,1715.77,1715.77,1715.77,92550400.0
2001-06-20,1741.29,1741.29,1741.29,1741.29,85780800.0
2001-06-21,1773.13,1773.13,1773.13,1773.13,82749000.0
2001-06-22,1772.96,1772.96,1772.96,1772.96,62336500.0
2001-06-25,1779.71,1779.71,1779.71,1779.71,42496500.0
2001-06-26,1784.07,1784.07,1784.07,1784.07,56452400.0
2001-06-27,1794.07,1794.07,1794.07,1794.07,50396900.0
2001-06-28,1786.27,1786.27,1786.27,1786.27,71217800.0
2001-06-29,1804.44,1804.44,1804.44,1804.44,54006900.0
2001-07-02,1851.06,1851.06,1851.06,1851.06,59098500.0
2001-07-03,1859.5,1859.5,1859.5,1859.5,38020800.0
2001-07-04,1861.22,1861.22,1861.22,1861.22,18060600.0
2001-07-05,1847.37,1847.37,1847.37,1847.37,69306200.0
2001-07-06,1802.35,1802.35,1802.35,1802.35,48342000.0
2001-07-09,1806.64,1806.64,1806.64,1806.64,32294300.0
2001-07-10,1812.54,1812.54,1812.54,1812.54,52405800.0
2001-07-11,1738.36,1738.36,1738.36,1738.36,73242800.0
2001-07-12,1711.64,1711.64,1711.64,1711.64,74825696.0
2001-07-13,1696.69,1696.69,1696.69,1696.69,46099900.0
2001-07-16,1679.33,1679.33,1679.33,1679.33,34091900.0
2001-07-17,1702.72,1702.72,1702.72,1702.72,53101000.0
2001-07-18,1716.34,1716.34,1716.34,1716.34,42728000.0
2001-07-19,1721.62,1721.62,1721.62,1721.62,49526600.0
2001-07-20,1714.97,1714.97,1714.97,1714.97,25510900.0
2001-07-23,1728.95,1728.95,1728.95,1728.95,22641400.0
2001-07-24,1721.51,1721.51,1721.51,1721.51,46131500.0
2001-07-25,1720.25,1720.25,1720.25,1720.25,36397600.0
2001-07-26,1748.26,1748.26,1748.26,1748.26,44839800.0
2001-07-27,1748.12,1748.12,1748.12,1748.12,41560700.0
2001-07-30,1765.56,1765.56,1765.56,1765.56,37714000.0
2001-07-31,1743.55,1743.55,1743.55,1743.55,57948400.0
2001-08-01,1761.61,1761.61,1761.61,1761.61,47777700.0
2001-08-02,1795.71,1795.71,1795.71,1795.71,77166896.0
2001-08-03,1799.31,1799.31,1799.31,1799.31,57062800.0
2001-08-06,1783.98,1783.98,1783.98,1783.98,40605900.0
2001-08-07,1787.88,1787.88,1787.88,1787.88,42242000.0
2001-08-08,1795.55,1795.55,1795.55,1795.55,55654100.0
2001-08-09,1787.88,1787.88,1787.88,1787.88,40597900.0
2001-08-10,1788.77,1788.77,1788.77,1788.77,98591952.0
2001-08-13,1802.35,1802.35,1802.35,1802.35,261513728.0
