Date,Open,High,Low,Close,Volume
2017-09-28,2051.02,2059.23,2038.46,2047.3,258569104.0
2017-09-29,2054.55,2087.54,2054.55,2080.85,262824992.0
2017-10-02,2076.01,2087.85,2064.96,2083.5,222440304.0
2017-10-03,2083.52,2159.99,2083.52,2158.72,340366208.0
2017-10-04,2166.62,2181.75,2154.65,2165.25,264210400.0
2017-10-05,2160.6,2198.23,2149.59,2167.94,347675296.0
2017-10-06,2139.25,2142.61,2111.69,2129.5,245955600.0
2017-10-09,2123.02,2124.14,2089.24,2109.58,189856608.0
2017-10-10,2114.65,2151.29,2114.65,2151.29,308439008.0
2017-10-11,2152.88,2156.37,2131.38,2143.71,333499488.0
2017-10-12,2139.89,2139.89,2139.89,2139.89,
2017-10-13,2148.05,2169.37,2148.05,2157.41,296142912.0
2017-10-16,2155.38,2170.17,2139.6,2149.43,283564000.0
2017-10-17,2143.0,2146.47,2116.61,2120.9,257085696.0
2017-10-18,2135.07,2145.72,2115.61,2139.44,277272896.0
2017-10-19,2138.02,2138.26,2101.82,2131.81,211551600.0
2017-10-20,2128.81,2141.74,2114.77,2117.71,235460096.0
2017-10-23,2118.2,2120.91,2059.48,2078.81,233214208.0
2017-10-24,2067.4,2083.21,2047.43,2071.01,286385216.0
2017-10-25,2088.07,2102.96,2047.26,2092.52,274427712.0
2017-10-26,2100.03,2108.0,2035.46,2060.24,268317104.0
2017-10-27,2041.84,2084.53,2027.65,2055.62,280581312.0
2017-10-30,2073.62,2073.62,2001.98,2032.48,340340896.0
2017-10-31,2021.31,2035.07,1997.17,2011.02,315518592.0
2017-11-01,2006.72,2040.16,1999.73,1999.73,325200800.0
2017-11-02,2000.95,2000.95,2000.95,2000.95,
2017-11-03,1998.45,2021.92,1947.03,1979.33,392582304.0
2017-11-06,1993.42,2028.82,1986.37,2003.35,303077088.0
2017-11-07,2005.33,2010.9,1956.22,1956.22,433768800.0
2017-11-08,1973.18,2027.43,1971.72,2023.84,303744096.0
2017-11-09,2029.6,2029.65,1975.55,1982.42,296125600.0
2017-11-10,1979.75,1982.72,1944.39,1960.45,280872192.0
2017-11-13,1947.41,1965.32,1929.83,1953.33,250617504.0
2017-11-14,1959.22,1969.85,1892.72,1900.37,402414496.0
2017-11-15,1894.35,1894.35,1894.35,1894.35,
2017-11-16,1898.53,1970.71,1898.53,1958.5,303052192.0
2017-11-17,1957.18,2001.52,1952.28,1986.05,250505504.0
2017-11-20,1996.2,1996.2,1996.2,1996.2,
2017-11-21,1997.5,2051.09,1997.32,2027.68,317758112.0
2017-11-22,2031.78,2048.57,2015.5,2032.25,307420000.0
2017-11-23,2039.62,2049.41,2015.92,2037.89,133690200.0
2017-11-24,2039.72,2043.23,2027.29,2033.28,240222304.0
2017-11-27,2031.3,2038.4,2006.66,2037.36,253720704.0
2017-11-28,2035.94,2068.49,2030.85,2040.39,282081792.0
2017-11-29,2045.6,2058.93,1983.48,2003.32,324514592.0
2017-11-30,1978.43,1978.43,1921.89,1946.96,572919808.0
2017-12-01,1946.31,1967.36,1932.8,1960.3,251413696.0
2017-12-04,1965.97,2008.05,1962.74,1987.08,270276704.0
2017-12-05,1992.46,2033.91,1971.22,1983.33,251371104.0
2017-12-06,1974.8,2007.05,1964.28,2001.1,273751104.0
2017-12-07,1977.64,1977.76,1904.95,1943.56,292887904.0
2017-12-08,1962.03,1986.09,1944.07,1944.24,270372416.0
2017-12-11,1963.13,1981.1,1947.92,1954.55,210154704.0
2017-12-12,1946.19,1974.37,1913.34,1960.66,265408608.0
2017-12-13,1969.15,2004.36,1928.77,1954.07,408052608.0
2017-12-14,1943.18,1943.18,1902.43,1922.76,319076800.0
2017-12-15,1929.55,1947.47,1923.21,1931.89,420841088.0
2017-12-18,1948.24,1976.25,1948.24,1964.65,293571104.0
2017-12-19,1961.33,1961.63,1931.98,1940.06,209458592.0
2017-12-20,1947.38,1970.86,1947.38,1965.5,185475808.0
2017-12-21,1963.28,2008.16,1948.92,2002.11,275978688.0
2017-12-22,1998.24,1998.24,1980.7,1990.56,165572608.0
2017-12-25,1990.56,1990.56,1990.56,1990.56,
2017-12-26,1991.5,2012.52,1979.08,2002.03,142306800.0
2017-12-27,2009.99,2031.67,2009.66,2018.34,165494000.0
2017-12-28,2021.14,2032.62,2018.22,2030.82,192581600.0
2017-12-29,2022.89,2022.89,2022.89,2022.89,
2018-01-01,2022.89,2022.89,2022.89,2022.89,
2018-01-02,2046.33,2097.83,2045.82,2094.61,254022096.0
2018-01-03,2101.32,2124.25,2091.34,2104.7,271815904.0
2018-01-04,2121.94,2153.43,2121.62,2139.48,278181600.0
2018-01-05,2127.99,2150.63,2113.36,2145.68,222665504.0
2018-01-08,2141.68,2157.35,2127.45,2157.35,213962000.0
2018-01-09,2151.1,2152.91,2126.88,2132.66,301205184.0
2018-01-10,2132.76,2133.16,2111.14,2116.53,238794496.0
2018-01-11,2125.83,2166.87,2121.3,2159.54,284280608.0
2018-01-12,2160.57,2171.9,2144.31,2166.15,278973408.0
2018-01-15,2176.92,2192.16,2171.81,2186.91,151865904.0
2018-01-16,2172.86,2186.81,2168.28,2168.28,252206896.0
2018-01-17,2169.97,2218.19,2164.7,2210.07,290735296.0
2018-01-18,2214.47,2232.93,2203.17,2217.91,301076512.0
2018-01-19,2220.57,2240.76,2217.66,2228.78,257419808.0
2018-01-22,2243.62,2248.17,2223.26,2247.57,236781504.0
2018-01-23,2241.13,2241.26,2190.04,2202.88,336716000.0
2018-01-24,2214.27,2344.62,2212.85,2316.6,498450912.0
2018-01-25,2347.76,2347.76,2347.76,2347.76,
2018-01-26,2344.53,2401.08,2344.38,2393.48,492673504.0
2018-01-29,2381.13,2381.44,2343.16,2355.37,357654688.0
