Date,Bid Price
2017-09-29,6.573
2017-10-02,6.551
2017-10-03,6.51
2017-10-04,6.464
2017-10-05,6.477
2017-10-06,6.475
2017-10-10,6.42
2017-10-11,6.441
2017-10-12,6.389
2017-10-13,6.354
2017-10-17,6.408
2017-10-18,6.433
2017-10-19,6.431
2017-10-20,6.48
2017-10-23,6.499
2017-10-24,6.577
2017-10-25,6.567
2017-10-26,6.637
2017-10-27,6.612
2017-10-30,6.581
2017-10-31,6.605
2017-11-01,6.743
2017-11-02,6.708
2017-11-03,6.735
2017-11-07,6.719
2017-11-08,6.699
2017-11-09,6.702
2017-11-10,6.751
2017-11-14,6.767
2017-11-15,6.765
2017-11-16,6.677
2017-11-17,6.637
2017-11-20,6.657
2017-11-21,6.631
2017-11-22,6.581
2017-11-23,6.586
2017-11-24,6.582
2017-11-27,6.557
2017-11-28,6.551
2017-12-01,6.49
2017-12-04,6.48
2017-12-05,6.462
2017-12-06,6.452
2017-12-07,6.517
2017-12-11,6.595
2017-12-12,6.644
2017-12-13,6.53
2017-12-14,6.512
2017-12-15,6.493
2017-12-18,6.361
2017-12-19,6.336
2017-12-20,6.402
2017-12-21,6.465
2017-12-22,6.488
2017-12-26,6.477
2017-12-27,6.476
2018-01-02,6.441
2018-01-03,6.348
2018-01-04,6.361
2018-01-05,6.345
2018-01-09,6.332
2018-01-10,6.353
2018-01-11,6.345
2018-01-12,6.377
2018-01-15,6.413
2018-01-16,6.457
2018-01-17,6.43
2018-01-18,6.443
2018-01-19,6.44
2018-01-22,6.453
2018-01-23,6.409
2018-01-24,6.372
2018-01-25,6.379
2018-01-26,6.371
2018-01-29,6.381
2018-01-30,6.407
2018-01-31,6.399
2018-02-01,6.348
2018-02-02,6.366
2018-02-05,6.481
2018-02-06,6.465
2018-02-07,6.515
2018-02-08,6.545
2018-02-09,6.543
2018-02-12,6.526
2018-02-13,6.52
2018-02-14,6.594
2018-02-15,6.561
2018-02-16,6.563
2018-02-19,6.55
2018-02-20,6.58
2018-02-21,6.566
2018-02-22,6.551
2018-02-23,6.502
2018-02-26,6.494
